submitting 10 batches x 20000 = 200000 requests
generated 99088900 bytes in 3.7s
submitted batch=batch_e5db5823-b3bb-4158-80f7-89384d7b3f53 idx=1 bytes=9908890
submitted batch=batch_9327d6f1-bbb4-4a73-b4d5-ae677e557ac5 idx=0 bytes=9908890
submitted batch=batch_3e1b89fc-6032-4d70-a3f9-728378cd02ad idx=7 bytes=9908890
submitted batch=batch_be89c747-f80c-4e8a-bbd6-d9ba8274e77a idx=4 bytes=9908890
submitted batch=batch_14b593d6-c198-4724-b3e9-bcb1394986bd idx=2 bytes=9908890
submitted batch=batch_8467ed08-1db3-483b-99d5-da970f3c69a9 idx=6 bytes=9908890
submitted batch=batch_fce65f22-c3fc-4c04-9eb7-2788260a0d2c idx=5 bytes=9908890
submitted batch=batch_0b809ed1-b2ed-4ff6-ad4b-3f4efb2aa95e idx=8 bytes=9908890
submitted batch=batch_137ec82e-25d0-4fee-b6d8-b1751d2aa373 idx=9 bytes=9908890
submitted batch=batch_a31d1438-93b9-4b07-b852-bb075d48d314 idx=3 bytes=9908890
all batches submitted in 0.2s ids=10
SAMPLE t=0.0 done=0/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=14.1 done=0/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=16.1 done=1792/200000 rate=893.2 terminal=0 failed=0
SAMPLE t=18.1 done=1792/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=20.1 done=1792/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=22.1 done=1792/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=24.1 done=1792/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=26.1 done=1792/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=28.1 done=1792/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=30.1 done=1792/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=4980/200000 rate=1589.0 terminal=0 failed=0
SAMPLE t=34.1 done=4980/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=4980/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=4980/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=4980/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=4980/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=4980/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=46.2 done=6776/200000 rate=895.6 terminal=0 failed=0
SAMPLE t=48.2 done=6776/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=50.2 done=6776/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=52.2 done=6776/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=54.2 done=6776/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=56.2 done=6776/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=58.2 done=6776/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=60.2 done=6776/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=62.2 done=7471/200000 rate=346.4 terminal=0 failed=0
SAMPLE t=64.2 done=7471/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=66.2 done=7471/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=68.2 done=7471/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=70.2 done=7471/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=72.2 done=7471/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=74.2 done=7471/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=76.2 done=8067/200000 rate=297.0 terminal=0 failed=0
SAMPLE t=78.3 done=8067/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=80.3 done=8067/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=82.3 done=8067/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=84.3 done=8067/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=86.3 done=8067/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=88.3 done=8067/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=90.3 done=8067/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=92.3 done=26099/200000 rate=8989.9 terminal=0 failed=0
