submitting 10 batches x 20000 = 200000 requests
generated 99088900 bytes in 3.5s
submitted batch=batch_054867a6-8a94-415e-bb60-671456fba060 idx=9 bytes=9908890
submitted batch=batch_87ba82c3-4ec7-4153-abf2-0a70f584dc51 idx=0 bytes=9908890
submitted batch=batch_607361ec-e7a6-404c-8b45-943a4948a98d idx=7 bytes=9908890
submitted batch=batch_ff747756-042d-4574-85bd-00cbda43b24e idx=2 bytes=9908890
submitted batch=batch_039f640f-9ee6-41ed-ae74-675f9811e0b8 idx=4 bytes=9908890
submitted batch=batch_d995589b-7a67-41e6-ba66-c6f1d36165a9 idx=6 bytes=9908890
submitted batch=batch_d1548602-3d5b-4c7a-b4ab-214f0a29413c idx=8 bytes=9908890
submitted batch=batch_1afb54bd-4d58-455a-9f53-ddcd7d332e68 idx=1 bytes=9908890
submitted batch=batch_74e5aed4-a1b2-4ff0-8109-51a9aa02a277 idx=5 bytes=9908890
submitted batch=batch_1bfb810b-f618-465f-9d2e-add2dd1d7558 idx=3 bytes=9908890
all batches submitted in 0.2s ids=10
SAMPLE t=0.0 done=0/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=14.1 done=0/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=16.1 done=0/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=18.1 done=2048/200000 rate=1020.7 terminal=0 failed=0
SAMPLE t=20.1 done=2048/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=22.1 done=2048/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=24.1 done=2048/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=26.1 done=2048/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=28.1 done=2048/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=30.1 done=2048/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=3328/200000 rate=638.0 terminal=0 failed=0
SAMPLE t=34.1 done=3328/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=3328/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=3328/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=3328/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=3328/200000 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=100000/200000 rate=48190.3 terminal=5 failed=0
SAMPLE t=46.2 done=100000/200000 rate=0.0 terminal=5 failed=0
SAMPLE t=48.2 done=100000/200000 rate=0.0 terminal=5 failed=0
SAMPLE t=50.2 done=160000/200000 rate=29892.8 terminal=7 failed=0
SAMPLE t=52.2 done=200000/200000 rate=19938.2 terminal=10 failed=0
RESULT steady_state_median_rps=0.0 steady_state_mean_rps=103.7 peak_rps=48190.3 total_done=200000 elapsed=52.2 submit_elapsed=0.2 drain_rps=3833.1 e2e_rps=3816.8 failed=0
