2 ms | 5 calls | 0.32 ms/call | SELECT extract($1 from now())::int, $2, coalesce(max(age(backend_xmin)),$3), coalesce(max(extract($4 from now(
0 ms | 2 calls | 0.24 ms/call | INSERT INTO file_items (id, tenant_id, expiry, tags, purpose, spec, status) VALUES ($1, $2, $3, $4, $5, $6, $7
0 ms | 1 calls | 0.39 ms/call | INSERT INTO batch_items (id, tenant_id, expiry, tags, processor_id, priority, epoch, recovery_attempts, spec, 
0 ms | 14 calls | 0.02 ms/call | WITH claimed AS ( SELECT id FROM batch_items WHERE processor_id IS NULL AND status IS NOT NULL AND status::jso
0 ms | 3 calls | 0.08 ms/call | UPDATE batch_items SET status = $1 WHERE id = $2 AND epoch = $3
0 ms | 1 calls | 0.15 ms/call | SELECT pg_stat_statements_reset()
0 ms | 2 calls | 0.07 ms/call | SELECT id, tenant_id, expiry, tags, processor_id, priority, epoch, recovery_attempts, status, spec FROM batch_
0 ms | 1 calls | 0.12 ms/call | UPDATE batch_items SET status = jsonb_set(COALESCE(status, $4::jsonb), $5, $1::jsonb, $6) WHERE id = $2 AND st
0 ms | 1 calls | 0.10 ms/call | SELECT id, tenant_id, expiry, tags, processor_id, priority, epoch, recovery_attempts, status, spec FROM batch_
0 ms | 1 calls | 0.08 ms/call | SELECT id, tenant_id, expiry, tags, purpose, status, spec FROM file_items WHERE id = ANY($1) AND tenant_id = $
0 ms | 1 calls | 0.05 ms/call | SELECT id, tenant_id, expiry, tags, purpose, status, spec FROM file_items WHERE id = ANY($1) ORDER BY id OFFSE
0 ms | 1 calls | 0.04 ms/call | SELECT id, event_type FROM batch_events WHERE job_id = $1 AND expires_at > EXTRACT($3 FROM NOW())::BIGINT ORDE
