2 ms | 5 calls | 0.33 ms/call | SELECT extract($1 from now())::int, $2, coalesce(max(age(backend_xmin)),$3), coalesce(max(extract($4 from now(
1 ms | 2 calls | 0.26 ms/call | INSERT INTO file_items (id, tenant_id, expiry, tags, purpose, spec, status) VALUES ($1, $2, $3, $4, $5, $6, $7
0 ms | 1 calls | 0.43 ms/call | INSERT INTO batch_items (id, tenant_id, expiry, tags, processor_id, priority, epoch, recovery_attempts, spec, 
0 ms | 14 calls | 0.03 ms/call | WITH claimed AS ( SELECT id FROM batch_items WHERE processor_id IS NULL AND status IS NOT NULL AND status::jso
0 ms | 3 calls | 0.08 ms/call | UPDATE batch_items SET status = $1 WHERE id = $2 AND epoch = $3
0 ms | 1 calls | 0.14 ms/call | SELECT pg_stat_statements_reset()
0 ms | 2 calls | 0.06 ms/call | SELECT id, tenant_id, expiry, tags, processor_id, priority, epoch, recovery_attempts, status, spec FROM batch_
0 ms | 1 calls | 0.11 ms/call | UPDATE batch_items SET status = jsonb_set(COALESCE(status, $4::jsonb), $5, $1::jsonb, $6) WHERE id = $2 AND st
0 ms | 1 calls | 0.10 ms/call | SELECT id, tenant_id, expiry, tags, processor_id, priority, epoch, recovery_attempts, status, spec FROM batch_
0 ms | 1 calls | 0.06 ms/call | SELECT id, tenant_id, expiry, tags, purpose, status, spec FROM file_items WHERE id = ANY($1) ORDER BY id OFFSE
0 ms | 1 calls | 0.02 ms/call | SELECT id, tenant_id, expiry, tags, purpose, status, spec FROM file_items WHERE id = ANY($1) AND tenant_id = $
0 ms | 1 calls | 0.01 ms/call | DELETE FROM batch_events WHERE expires_at < EXTRACT($1 FROM NOW())::BIGINT
0 ms | 1 calls | 0.00 ms/call | DELETE FROM batch_events WHERE id IN ( SELECT id FROM batch_events WHERE job_id = $1 AND expires_at > EXTRACT(
