submitting 3 batches x 12000 = 36000 requests
generated 52418670 bytes in 2.2s
submitted batch=batch_1b2ed319-50fb-43d9-8be2-f957a6eee2eb idx=2 bytes=17472890
submitted batch=batch_307ad214-90d0-4436-a530-09b89f914aef idx=0 bytes=17472890
submitted batch=batch_c4de899d-1072-4e20-8569-8d3148bece9d idx=1 bytes=17472890
all batches submitted in 0.2s ids=3
SAMPLE t=0.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=14.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=16.0 done=1109/36000 rate=553.7 terminal=0 failed=0
SAMPLE t=18.0 done=1109/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=20.0 done=1109/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=22.0 done=1109/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=24.0 done=1109/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=26.0 done=1109/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=28.0 done=1109/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=30.1 done=1109/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=3064/36000 rate=976.0 terminal=0 failed=0
SAMPLE t=34.1 done=3064/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=3064/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=3064/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=3064/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=3064/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=3064/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=46.1 done=4925/36000 rate=929.0 terminal=0 failed=0
SAMPLE t=48.1 done=4925/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=50.1 done=4925/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=52.1 done=4925/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=54.1 done=4925/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=56.1 done=4925/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=58.1 done=4925/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=60.1 done=4925/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=62.1 done=6087/36000 rate=579.5 terminal=0 failed=0
SAMPLE t=64.1 done=6087/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=66.1 done=6087/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=68.1 done=6087/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=70.1 done=6087/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=72.1 done=6087/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=74.1 done=6087/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=76.1 done=6698/36000 rate=305.1 terminal=0 failed=0
SAMPLE t=78.1 done=6698/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=80.1 done=6698/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=82.1 done=6698/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=84.1 done=6698/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=86.1 done=6698/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=88.1 done=6698/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=90.1 done=6698/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=92.1 done=7404/36000 rate=352.5 terminal=0 failed=0
SAMPLE t=94.1 done=7404/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=96.2 done=7404/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=98.2 done=7404/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=100.2 done=7404/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=102.2 done=7404/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=104.2 done=7404/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=106.2 done=7989/36000 rate=292.1 terminal=0 failed=0
SAMPLE t=108.2 done=7989/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=110.2 done=7989/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=112.2 done=7989/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=114.2 done=7989/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=116.2 done=7989/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=118.2 done=7989/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=120.2 done=7989/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=122.2 done=8619/36000 rate=314.5 terminal=0 failed=0
SAMPLE t=124.2 done=8619/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=126.2 done=8619/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=128.2 done=8619/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=130.2 done=8619/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=132.2 done=8619/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=134.2 done=8619/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=136.2 done=9200/36000 rate=290.2 terminal=0 failed=0
SAMPLE t=138.2 done=9200/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=140.2 done=9200/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=142.2 done=9200/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=144.2 done=9200/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=146.2 done=9200/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=148.2 done=9200/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=150.2 done=9200/36000 rate=0.0 terminal=0 failed=0
