submitting 3 batches x 10000 = 30000 requests
generated 43676670 bytes in 1.9s
submitted batch=batch_a15c3e11-4c83-4edc-9047-3e539d0cab48 idx=1 bytes=14558890
submitted batch=batch_77338c92-74b3-4092-b824-ec6a4f5bab2a idx=2 bytes=14558890
submitted batch=batch_1db1ab5d-9055-4dc6-ae96-cdee581ce89e idx=0 bytes=14558890
all batches submitted in 0.2s ids=3
SAMPLE t=0.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=14.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=16.0 done=1437/30000 rate=717.4 terminal=0 failed=0
SAMPLE t=18.0 done=1437/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=20.0 done=1437/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=22.0 done=1437/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=24.0 done=1437/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=26.0 done=1437/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=28.0 done=1437/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=30.1 done=1437/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=3368/30000 rate=964.1 terminal=0 failed=0
SAMPLE t=34.1 done=3368/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=3368/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=3368/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=3368/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=3368/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=3368/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=46.1 done=5058/30000 rate=843.6 terminal=0 failed=0
SAMPLE t=48.1 done=5058/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=50.1 done=5058/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=52.1 done=5058/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=54.1 done=5058/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=56.1 done=5058/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=58.1 done=5058/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=60.1 done=5058/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=62.1 done=6218/30000 rate=579.2 terminal=0 failed=0
SAMPLE t=64.1 done=6218/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=66.1 done=6218/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=68.1 done=6218/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=70.1 done=6218/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=72.1 done=6218/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=74.1 done=6218/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=76.1 done=6868/30000 rate=324.5 terminal=0 failed=0
SAMPLE t=78.1 done=6868/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=80.1 done=6868/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=82.1 done=6868/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=84.1 done=6868/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=86.1 done=6868/30000 rate=0.0 terminal=0 failed=0
