submitting 3 batches x 10000 = 30000 requests
generated 43676670 bytes in 1.8s
submitted batch=batch_7ada8198-2dcb-4275-bf01-0dbda8a9411a idx=2 bytes=14558890
submitted batch=batch_3f816059-9194-4ab7-ae25-4eef4e343d6d idx=0 bytes=14558890
submitted batch=batch_90007958-0554-4365-8eb6-cb29d742645e idx=1 bytes=14558890
all batches submitted in 0.2s ids=3
SAMPLE t=0.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=14.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=16.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=18.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=20.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=22.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=24.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=26.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=28.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=30.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=278/30000 rate=138.8 terminal=0 failed=0
SAMPLE t=34.1 done=278/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=278/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=278/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=278/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=278/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=278/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=46.1 done=1803/30000 rate=761.4 terminal=0 failed=0
SAMPLE t=48.1 done=1803/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=50.1 done=1803/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=52.1 done=1803/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=54.1 done=1803/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=56.1 done=1803/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=58.1 done=1803/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=60.1 done=1803/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=62.1 done=2758/30000 rate=476.8 terminal=0 failed=0
SAMPLE t=64.1 done=2758/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=66.1 done=2758/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=68.1 done=2758/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=70.1 done=2758/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=72.1 done=2758/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=74.1 done=2758/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=76.1 done=3543/30000 rate=391.9 terminal=0 failed=0
SAMPLE t=78.1 done=3543/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=80.1 done=3543/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=82.1 done=3543/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=84.1 done=3543/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=86.1 done=3543/30000 rate=0.0 terminal=0 failed=0
