submitting 3 batches x 2000 = 6000 requests
generated 8732670 bytes in 0.4s
submitted batch=batch_746ab39f-71a9-4d7e-a0a5-786928f65fc6 idx=0 bytes=2910890
submitted batch=batch_ad6ccd6a-21e6-421f-976e-cad59a4d31c6 idx=2 bytes=2910890
submitted batch=batch_ba054b06-a9e7-406a-9557-966800aa6dbf idx=1 bytes=2910890
all batches submitted in 0.1s ids=3
SAMPLE t=0.0 done=0/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=14.0 done=0/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=16.0 done=256/6000 rate=127.8 terminal=0 failed=0
SAMPLE t=18.0 done=256/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=20.0 done=256/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=22.0 done=256/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=24.0 done=256/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=26.0 done=256/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=28.0 done=256/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=30.1 done=256/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=768/6000 rate=255.6 terminal=0 failed=0
SAMPLE t=34.1 done=768/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=768/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=768/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=768/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=768/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=768/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=46.1 done=1279/6000 rate=255.1 terminal=0 failed=0
SAMPLE t=48.1 done=1279/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=50.1 done=1279/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=52.1 done=1279/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=54.1 done=1279/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=56.1 done=1279/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=58.1 done=1279/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=60.1 done=1279/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=62.1 done=1770/6000 rate=245.1 terminal=0 failed=0
SAMPLE t=64.1 done=1770/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=66.1 done=1770/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=68.1 done=1770/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=70.1 done=1770/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=72.1 done=1770/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=74.1 done=1770/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=76.1 done=2022/6000 rate=125.8 terminal=0 failed=0
SAMPLE t=78.1 done=2022/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=80.1 done=2022/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=82.1 done=2022/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=84.1 done=2022/6000 rate=0.0 terminal=0 failed=0
