submitting 3 batches x 12000 = 36000 requests
generated 52418670 bytes in 2.2s
submitted batch=batch_938b6454-ffcc-4237-9bb8-f227d4a654b8 idx=0 bytes=17472890
submitted batch=batch_d343ec4f-30e5-40e0-93b5-df85b7bcf357 idx=1 bytes=17472890
submitted batch=batch_6384872a-7296-4f3a-b37e-7a44373389e4 idx=2 bytes=17472890
all batches submitted in 0.2s ids=3
SAMPLE t=0.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=14.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=16.0 done=1075/36000 rate=536.6 terminal=0 failed=0
SAMPLE t=18.0 done=1075/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=20.1 done=1075/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=22.1 done=1075/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=24.1 done=1075/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=26.1 done=1075/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=28.1 done=1075/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=30.1 done=1075/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=2605/36000 rate=763.8 terminal=0 failed=0
SAMPLE t=34.1 done=2605/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=2605/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=2605/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=2605/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=2605/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=2605/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=46.1 done=4127/36000 rate=759.7 terminal=0 failed=0
SAMPLE t=48.1 done=4127/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=50.1 done=4127/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=52.1 done=4127/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=54.1 done=4127/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=56.1 done=4127/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=58.1 done=4127/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=60.1 done=4127/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=62.1 done=5118/36000 rate=494.7 terminal=0 failed=0
SAMPLE t=64.1 done=5118/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=66.1 done=5118/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=68.1 done=5118/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=70.1 done=5118/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=72.1 done=5118/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=74.1 done=5118/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=76.2 done=5862/36000 rate=371.4 terminal=0 failed=0
SAMPLE t=78.2 done=5862/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=80.2 done=5862/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=82.2 done=5862/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=84.2 done=5862/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=86.2 done=5862/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=88.2 done=5862/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=90.2 done=5862/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=92.2 done=6533/36000 rate=334.9 terminal=0 failed=0
SAMPLE t=94.2 done=6533/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=96.2 done=6533/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=98.2 done=6533/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=100.2 done=6533/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=102.2 done=6533/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=104.2 done=6533/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=106.2 done=7132/36000 rate=299.0 terminal=0 failed=0
SAMPLE t=108.2 done=7132/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=110.2 done=7132/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=112.2 done=7132/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=114.2 done=7132/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=116.2 done=7132/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=118.2 done=7132/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=120.2 done=7132/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=122.2 done=7798/36000 rate=332.5 terminal=0 failed=0
SAMPLE t=124.2 done=7798/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=126.2 done=7798/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=128.2 done=7798/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=130.2 done=7798/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=132.2 done=7798/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=134.3 done=7798/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=136.3 done=8468/36000 rate=334.4 terminal=0 failed=0
SAMPLE t=138.3 done=8468/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=140.3 done=8468/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=142.3 done=8468/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=144.3 done=8468/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=146.3 done=8468/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=148.3 done=8468/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=150.3 done=8468/36000 rate=0.0 terminal=0 failed=0
