submitting 3 batches x 12000 = 36000 requests
generated 52418670 bytes in 2.2s
submitted batch=batch_73311d64-c97a-4531-b9f2-ce8f8c133ad9 idx=1 bytes=17472890
submitted batch=batch_a90bdb94-a2d4-400f-a2d5-57c0981c509a idx=0 bytes=17472890
submitted batch=batch_1475ac5a-ad70-4eb0-b3a1-4aff651f5c8e idx=2 bytes=17472890
all batches submitted in 0.2s ids=3
SAMPLE t=0.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=14.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=16.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=18.0 done=1282/36000 rate=640.1 terminal=0 failed=0
SAMPLE t=20.1 done=1282/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=22.1 done=1282/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=24.1 done=1282/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=26.1 done=1282/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=28.1 done=1282/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=30.1 done=1282/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=3288/36000 rate=1001.4 terminal=0 failed=0
SAMPLE t=34.1 done=3288/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=3288/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=3288/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=3288/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=3288/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=3288/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=46.1 done=3999/36000 rate=354.9 terminal=0 failed=0
SAMPLE t=48.1 done=5000/36000 rate=499.6 terminal=0 failed=0
SAMPLE t=50.1 done=5000/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=52.1 done=5000/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=54.1 done=5000/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=56.1 done=5000/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=58.1 done=5000/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=60.1 done=5000/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=62.1 done=6201/36000 rate=599.7 terminal=0 failed=0
SAMPLE t=64.1 done=6201/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=66.1 done=6201/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=68.1 done=6201/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=70.1 done=6201/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=72.1 done=6201/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=74.1 done=6201/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=76.1 done=6384/36000 rate=91.4 terminal=0 failed=0
SAMPLE t=78.1 done=6856/36000 rate=235.7 terminal=0 failed=0
SAMPLE t=80.1 done=6856/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=82.1 done=6856/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=84.2 done=6856/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=86.2 done=6856/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=88.2 done=6856/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=90.2 done=6856/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=92.2 done=7540/36000 rate=341.5 terminal=0 failed=0
SAMPLE t=94.2 done=7540/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=96.2 done=7540/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=98.2 done=7540/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=100.2 done=7540/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=102.2 done=7540/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=104.2 done=7540/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=106.2 done=7730/36000 rate=94.9 terminal=0 failed=0
SAMPLE t=108.2 done=8183/36000 rate=226.1 terminal=0 failed=0
SAMPLE t=110.2 done=8183/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=112.2 done=8183/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=114.2 done=8183/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=116.2 done=8183/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=118.2 done=8183/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=120.2 done=8183/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=122.2 done=8830/36000 rate=323.0 terminal=0 failed=0
SAMPLE t=124.2 done=8830/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=126.2 done=8830/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=128.2 done=8830/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=130.2 done=8830/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=132.2 done=8830/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=134.2 done=8830/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=136.2 done=9341/36000 rate=255.1 terminal=0 failed=0
SAMPLE t=138.2 done=9539/36000 rate=98.9 terminal=0 failed=0
SAMPLE t=140.2 done=9539/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=142.2 done=9539/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=144.2 done=9539/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=146.2 done=9539/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=148.3 done=9539/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=150.3 done=9539/36000 rate=0.0 terminal=0 failed=0
