submitting 3 batches x 6000 = 18000 requests
generated 26204670 bytes in 1.1s
submitted batch=batch_14ab592c-5f0f-457e-883a-8cb496613f6b idx=1 bytes=8734890
submitted batch=batch_eea3745f-df72-4a11-a0b8-6cf691663794 idx=2 bytes=8734890
submitted batch=batch_dbd47e5f-c8b4-4e5d-8e07-65f3e60da2df idx=0 bytes=8734890
all batches submitted in 0.1s ids=3
SAMPLE t=0.0 done=0/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=14.0 done=0/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=16.0 done=650/18000 rate=324.4 terminal=0 failed=0
SAMPLE t=18.0 done=650/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=20.0 done=650/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=22.0 done=650/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=24.0 done=650/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=26.0 done=650/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=28.0 done=650/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=30.1 done=650/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=1669/18000 rate=508.6 terminal=0 failed=0
SAMPLE t=34.1 done=1669/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=1669/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=1669/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=1669/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=1669/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=1669/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=46.1 done=2507/18000 rate=418.4 terminal=0 failed=0
SAMPLE t=48.1 done=2507/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=50.1 done=2507/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=52.1 done=2507/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=54.1 done=2507/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=56.1 done=2507/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=58.1 done=2507/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=60.1 done=2507/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=62.1 done=3168/18000 rate=329.9 terminal=0 failed=0
SAMPLE t=64.1 done=3168/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=66.1 done=3168/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=68.1 done=3168/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=70.1 done=3168/18000 rate=0.0 terminal=0 failed=0
SAMPLE t=72.1 done=3168/18000 rate=0.0 terminal=0 failed=0
