submitting 3 batches x 10000 = 30000 requests
generated 43676670 bytes in 1.9s
submitted batch=batch_b47b9df4-e523-4c49-82aa-e3fd18581cd9 idx=0 bytes=14558890
submitted batch=batch_fe25db8a-2a22-4d98-b0f3-95c50eb5f81c idx=2 bytes=14558890
submitted batch=batch_a7d75c8d-991e-42e1-bd12-1701998c9856 idx=1 bytes=14558890
all batches submitted in 0.2s ids=3
SAMPLE t=0.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=14.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=16.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=18.0 done=1487/30000 rate=742.4 terminal=0 failed=0
SAMPLE t=20.0 done=1487/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=22.0 done=1487/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=24.0 done=1487/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=26.0 done=1487/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=28.0 done=1487/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=30.0 done=1487/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=3273/30000 rate=891.0 terminal=0 failed=0
SAMPLE t=34.1 done=3273/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=3273/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=3273/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=3273/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=3273/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=3273/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=46.1 done=3273/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=48.1 done=5016/30000 rate=870.1 terminal=0 failed=0
SAMPLE t=50.1 done=5016/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=52.1 done=5016/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=54.1 done=5016/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=56.1 done=5016/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=58.1 done=5016/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=60.1 done=5016/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=62.1 done=6281/30000 rate=631.5 terminal=0 failed=0
SAMPLE t=64.1 done=6281/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=66.1 done=6281/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=68.1 done=6281/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=70.1 done=6281/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=72.1 done=6281/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=74.1 done=6281/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=76.1 done=6281/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=78.1 done=7254/30000 rate=485.8 terminal=0 failed=0
SAMPLE t=80.1 done=7254/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=82.1 done=7254/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=84.1 done=7254/30000 rate=0.0 terminal=0 failed=0
