submitting 3 batches x 2000 = 6000 requests
generated 8732670 bytes in 0.4s
submitted batch=batch_2f23785b-c2c4-4ce0-bedd-d71447a2d132 idx=1 bytes=2910890
submitted batch=batch_c1887063-40ff-4eb9-b861-1063f9138836 idx=0 bytes=2910890
submitted batch=batch_c14cc846-74ca-4b85-9c46-d8271677ffe1 idx=2 bytes=2910890
all batches submitted in 0.1s ids=3
SAMPLE t=0.0 done=0/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=14.0 done=0/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=16.0 done=319/6000 rate=159.3 terminal=0 failed=0
SAMPLE t=18.0 done=319/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=20.0 done=319/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=22.0 done=319/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=24.0 done=319/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=26.0 done=319/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=28.0 done=319/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=30.0 done=319/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=768/6000 rate=224.2 terminal=0 failed=0
SAMPLE t=34.1 done=768/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=768/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=768/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=768/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=768/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=768/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=46.1 done=1099/6000 rate=165.2 terminal=0 failed=0
SAMPLE t=48.1 done=1099/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=50.1 done=1099/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=52.1 done=1099/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=54.1 done=1099/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=56.1 done=1099/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=58.1 done=1099/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=60.1 done=1099/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=62.1 done=1460/6000 rate=180.2 terminal=0 failed=0
SAMPLE t=64.1 done=1460/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=66.1 done=1460/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=68.1 done=1460/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=70.1 done=1460/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=72.1 done=1460/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=74.1 done=1460/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=76.1 done=1627/6000 rate=83.4 terminal=0 failed=0
SAMPLE t=78.1 done=1627/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=80.1 done=1627/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=82.1 done=1627/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=84.1 done=1627/6000 rate=0.0 terminal=0 failed=0
