submitting 3 batches x 3000 = 9000 requests
generated 13100670 bytes in 0.5s
submitted batch=batch_84fc1845-64e9-464d-bd22-cdd0f13fd432 idx=1 bytes=4366890
submitted batch=batch_470d5690-4321-4ebd-82a5-0e53299bf224 idx=2 bytes=4366890
submitted batch=batch_9032b823-c71f-442a-b840-581f4342fc87 idx=0 bytes=4366890
all batches submitted in 0.1s ids=3
SAMPLE t=0.0 done=0/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=14.0 done=0/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=16.0 done=300/9000 rate=149.7 terminal=0 failed=0
SAMPLE t=18.0 done=300/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=20.0 done=300/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=22.0 done=300/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=24.0 done=300/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=26.0 done=300/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=28.0 done=300/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=30.1 done=300/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=833/9000 rate=266.1 terminal=0 failed=0
SAMPLE t=34.1 done=833/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=833/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=833/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=833/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=833/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=833/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=46.1 done=1266/9000 rate=216.1 terminal=0 failed=0
SAMPLE t=48.1 done=1266/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=50.1 done=1266/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=52.1 done=1266/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=54.1 done=1266/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=56.1 done=1266/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=58.1 done=1266/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=60.1 done=1266/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=62.1 done=1608/9000 rate=170.7 terminal=0 failed=0
SAMPLE t=64.1 done=1608/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=66.1 done=1608/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=68.1 done=1608/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=70.1 done=1608/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=72.1 done=1608/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=74.1 done=1608/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=76.1 done=1838/9000 rate=114.8 terminal=0 failed=0
SAMPLE t=78.1 done=1838/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=80.1 done=1838/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=82.1 done=1838/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=84.1 done=1838/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=86.1 done=1838/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=88.1 done=1838/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=90.2 done=1838/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=92.2 done=2088/9000 rate=124.8 terminal=0 failed=0
SAMPLE t=94.2 done=2088/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=96.2 done=2088/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=98.2 done=2088/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=100.2 done=2088/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=102.2 done=2088/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=104.2 done=2088/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=106.2 done=2297/9000 rate=104.3 terminal=0 failed=0
SAMPLE t=108.2 done=2297/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=110.2 done=2297/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=112.2 done=2297/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=114.2 done=2297/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=116.2 done=2297/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=118.2 done=2297/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=120.2 done=2297/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=122.2 done=2602/9000 rate=152.2 terminal=0 failed=0
SAMPLE t=124.2 done=2602/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=126.2 done=2602/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=128.2 done=2602/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=130.2 done=2602/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=132.2 done=2602/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=134.2 done=2602/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=136.2 done=2709/9000 rate=53.4 terminal=0 failed=0
SAMPLE t=138.2 done=2709/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=140.3 done=2709/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=142.3 done=2709/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=144.3 done=2709/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=146.3 done=2709/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=148.3 done=2709/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=150.3 done=2709/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=152.3 done=2755/9000 rate=23.0 terminal=0 failed=0
SAMPLE t=154.3 done=2755/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=156.3 done=2755/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=158.3 done=2755/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=160.3 done=2755/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=162.3 done=2755/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=164.3 done=2755/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=166.3 done=2812/9000 rate=28.5 terminal=0 failed=0
SAMPLE t=168.3 done=2812/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=170.3 done=2812/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=172.3 done=2812/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=174.3 done=2812/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=176.3 done=2812/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=178.3 done=2812/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=180.3 done=2812/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=182.3 done=2873/9000 rate=30.5 terminal=0 failed=0
SAMPLE t=184.3 done=2873/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=186.3 done=2873/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=188.3 done=2873/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=190.3 done=2873/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=192.3 done=2873/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=194.3 done=2873/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=196.3 done=3187/9000 rate=156.8 terminal=0 failed=0
SAMPLE t=198.3 done=3187/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=200.3 done=3187/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=202.4 done=3187/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=204.4 done=3187/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=206.4 done=3187/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=208.4 done=3187/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=210.4 done=3187/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=212.4 done=3410/9000 rate=111.3 terminal=0 failed=0
SAMPLE t=214.4 done=3410/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=216.4 done=3410/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=218.4 done=3410/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=220.4 done=3410/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=222.4 done=3410/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=224.4 done=3410/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=226.4 done=3639/9000 rate=114.3 terminal=0 failed=0
SAMPLE t=228.4 done=3639/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=230.4 done=3639/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=232.4 done=3639/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=234.4 done=3639/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=236.4 done=3639/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=238.4 done=3639/9000 rate=0.0 terminal=0 failed=0
SAMPLE t=240.4 done=3639/9000 rate=0.0 terminal=0 failed=0
