submitting 3 batches x 2000 = 6000 requests
generated 8732670 bytes in 0.4s
submitted batch=batch_37cfc724-6dd7-4845-b00c-fcb7d1e73bf2 idx=0 bytes=2910890
submitted batch=batch_95312d1c-dfe9-480d-b86b-b647aa8ede7f idx=1 bytes=2910890
submitted batch=batch_5933dfe1-22ef-47c0-a8fd-85aae224077b idx=2 bytes=2910890
all batches submitted in 0.1s ids=3
SAMPLE t=0.0 done=0/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=14.0 done=0/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=16.0 done=331/6000 rate=165.2 terminal=0 failed=0
SAMPLE t=18.0 done=331/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=20.0 done=331/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=22.0 done=331/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=24.0 done=331/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=26.0 done=331/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=28.0 done=331/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=30.0 done=331/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=831/6000 rate=249.6 terminal=0 failed=0
SAMPLE t=34.1 done=831/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=831/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=831/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=831/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=831/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=831/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=46.1 done=1252/6000 rate=210.2 terminal=0 failed=0
SAMPLE t=48.1 done=1252/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=50.1 done=1252/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=52.1 done=1252/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=54.1 done=1252/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=56.1 done=1252/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=58.1 done=1252/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=60.1 done=1252/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=62.1 done=1614/6000 rate=180.7 terminal=0 failed=0
SAMPLE t=64.1 done=1614/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=66.1 done=1614/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=68.1 done=1614/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=70.1 done=1614/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=72.1 done=1614/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=74.1 done=1614/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=76.1 done=1830/6000 rate=107.8 terminal=0 failed=0
SAMPLE t=78.1 done=1830/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=80.1 done=1830/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=82.1 done=1830/6000 rate=0.0 terminal=0 failed=0
SAMPLE t=84.1 done=1830/6000 rate=0.0 terminal=0 failed=0
