submitting 3 batches x 12000 = 36000 requests
generated 52418670 bytes in 2.2s
submitted batch=batch_0aaf5073-6ec9-485a-9150-cf31378fdb9e idx=0 bytes=17472890
submitted batch=batch_cbc47dcf-9f14-46eb-a8b1-44d79d05c2e5 idx=1 bytes=17472890
submitted batch=batch_056b5938-c97e-4715-844c-8fbd35e023a5 idx=2 bytes=17472890
all batches submitted in 0.2s ids=3
SAMPLE t=0.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=14.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=16.0 done=1048/36000 rate=523.1 terminal=0 failed=0
SAMPLE t=18.0 done=1048/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=20.0 done=1048/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=22.0 done=1048/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=24.0 done=1048/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=26.0 done=1048/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=28.1 done=1048/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=30.1 done=1048/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=2588/36000 rate=768.7 terminal=0 failed=0
SAMPLE t=34.1 done=2588/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=2588/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=2588/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=2588/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=2588/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=2588/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=46.1 done=4122/36000 rate=765.9 terminal=0 failed=0
SAMPLE t=48.1 done=4122/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=50.1 done=4122/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=52.1 done=4122/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=54.1 done=4122/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=56.1 done=4122/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=58.1 done=4122/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=60.1 done=4122/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=62.1 done=5145/36000 rate=510.8 terminal=0 failed=0
SAMPLE t=64.1 done=5145/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=66.1 done=5145/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=68.1 done=5145/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=70.1 done=5145/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=72.1 done=5145/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=74.1 done=5145/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=76.1 done=5841/36000 rate=347.4 terminal=0 failed=0
SAMPLE t=78.1 done=5841/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=80.1 done=5841/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=82.1 done=5841/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=84.1 done=5841/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=86.1 done=5841/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=88.2 done=5841/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=90.2 done=5841/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=92.2 done=6560/36000 rate=358.9 terminal=0 failed=0
SAMPLE t=94.2 done=6560/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=96.2 done=6560/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=98.2 done=6560/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=100.2 done=6560/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=102.2 done=6560/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=104.2 done=6560/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=106.2 done=7158/36000 rate=298.5 terminal=0 failed=0
SAMPLE t=108.2 done=7158/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=110.2 done=7158/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=112.2 done=7158/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=114.2 done=7158/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=116.2 done=7158/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=118.2 done=7158/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=120.2 done=7158/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=122.2 done=7876/36000 rate=358.4 terminal=0 failed=0
SAMPLE t=124.2 done=7876/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=126.2 done=7876/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=128.2 done=7876/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=130.2 done=7876/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=132.2 done=7876/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=134.2 done=7876/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=136.2 done=8547/36000 rate=335.0 terminal=0 failed=0
SAMPLE t=138.2 done=8547/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=140.2 done=8547/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=142.2 done=8547/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=144.3 done=8547/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=146.3 done=8547/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=148.3 done=8547/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=150.3 done=8547/36000 rate=0.0 terminal=0 failed=0
