submitting 3 batches x 12000 = 36000 requests
generated 52418670 bytes in 2.4s
submitted batch=batch_441c52f9-b73a-4b59-9ef1-56afed6a533e idx=2 bytes=17472890
submitted batch=batch_8e31face-5ab7-4896-a202-45256a2710ae idx=1 bytes=17472890
submitted batch=batch_0d314c27-993c-4fbe-9e34-c66f3524df2d idx=0 bytes=17472890
all batches submitted in 0.2s ids=3
SAMPLE t=0.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=14.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=16.0 done=1084/36000 rate=541.0 terminal=0 failed=0
SAMPLE t=18.0 done=1084/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=20.0 done=1084/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=22.0 done=1084/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=24.0 done=1084/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=26.0 done=1084/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=28.0 done=1084/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=30.0 done=1084/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=2638/36000 rate=775.8 terminal=0 failed=0
SAMPLE t=34.1 done=2638/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=2638/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=2638/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=2638/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=2638/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=2638/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=46.1 done=3406/36000 rate=383.4 terminal=0 failed=0
SAMPLE t=48.1 done=4169/36000 rate=380.9 terminal=0 failed=0
SAMPLE t=50.1 done=4169/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=52.1 done=4169/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=54.1 done=4169/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=56.1 done=4169/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=58.1 done=4169/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=60.1 done=4169/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=62.1 done=5041/36000 rate=435.3 terminal=0 failed=0
SAMPLE t=64.1 done=5041/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=66.1 done=5041/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=68.1 done=5041/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=70.1 done=5041/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=72.1 done=5041/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=74.1 done=5041/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=76.1 done=5833/36000 rate=395.2 terminal=0 failed=0
SAMPLE t=78.1 done=5833/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=80.1 done=5833/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=82.1 done=5833/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=84.1 done=5833/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=86.1 done=5833/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=88.1 done=5833/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=90.2 done=5833/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=92.2 done=6458/36000 rate=312.0 terminal=0 failed=0
SAMPLE t=94.2 done=6458/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=96.2 done=6458/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=98.2 done=6458/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=100.2 done=6458/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=102.2 done=6458/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=104.2 done=6458/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=106.2 done=6807/36000 rate=174.3 terminal=0 failed=0
SAMPLE t=108.2 done=7063/36000 rate=127.8 terminal=0 failed=0
SAMPLE t=110.2 done=7063/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=112.2 done=7063/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=114.2 done=7063/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=116.2 done=7063/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=118.2 done=7063/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=120.2 done=7063/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=122.2 done=7772/36000 rate=354.0 terminal=0 failed=0
SAMPLE t=124.2 done=7772/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=126.2 done=7772/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=128.2 done=7772/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=130.2 done=7772/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=132.2 done=7772/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=134.2 done=7772/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=136.2 done=8423/36000 rate=324.6 terminal=0 failed=0
SAMPLE t=138.2 done=8461/36000 rate=19.0 terminal=0 failed=0
SAMPLE t=140.2 done=8461/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=142.2 done=8461/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=144.2 done=8461/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=146.2 done=8461/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=148.2 done=8461/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=150.3 done=8461/36000 rate=0.0 terminal=0 failed=0
