submitting 3 batches x 12000 = 36000 requests
generated 52418670 bytes in 2.5s
submitted batch=batch_46b87062-81da-48d2-b308-0ecbd47bac31 idx=1 bytes=17472890
submitted batch=batch_762e75f1-951d-4da5-9453-2d88a36422f8 idx=2 bytes=17472890
submitted batch=batch_56ed246d-45cc-4b71-bfaf-f35fc89b5ad7 idx=0 bytes=17472890
all batches submitted in 0.2s ids=3
SAMPLE t=0.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=14.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=16.0 done=1053/36000 rate=524.7 terminal=0 failed=0
SAMPLE t=18.0 done=1053/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=20.0 done=1053/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=22.1 done=1053/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=24.1 done=1053/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=26.1 done=1053/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=28.1 done=1053/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=30.1 done=1053/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=2594/36000 rate=769.2 terminal=0 failed=0
SAMPLE t=34.1 done=2594/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=2594/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=2594/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=2594/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=2594/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=2594/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=46.1 done=4146/36000 rate=774.7 terminal=0 failed=0
SAMPLE t=48.1 done=4146/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=50.1 done=4146/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=52.1 done=4146/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=54.1 done=4146/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=56.1 done=4146/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=58.1 done=4146/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=60.1 done=4146/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=62.1 done=5130/36000 rate=491.3 terminal=0 failed=0
SAMPLE t=64.1 done=5130/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=66.1 done=5130/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=68.1 done=5130/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=70.1 done=5130/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=72.1 done=5130/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=74.2 done=5130/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=76.2 done=5886/36000 rate=377.0 terminal=0 failed=0
SAMPLE t=78.2 done=5886/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=80.2 done=5886/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=82.2 done=5886/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=84.2 done=5886/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=86.2 done=5886/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=88.2 done=5886/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=90.2 done=5886/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=92.2 done=6519/36000 rate=315.6 terminal=0 failed=0
SAMPLE t=94.2 done=6519/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=96.2 done=6519/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=98.2 done=6519/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=100.2 done=6519/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=102.2 done=6519/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=104.2 done=6519/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=106.2 done=7128/36000 rate=303.9 terminal=0 failed=0
SAMPLE t=108.2 done=7128/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=110.2 done=7128/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=112.2 done=7128/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=114.2 done=7128/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=116.2 done=7128/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=118.2 done=7128/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=120.3 done=7128/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=122.3 done=7745/36000 rate=308.0 terminal=0 failed=0
SAMPLE t=124.3 done=7745/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=126.3 done=7745/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=128.3 done=7745/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=130.3 done=7745/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=132.3 done=7745/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=134.3 done=7745/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=136.3 done=8371/36000 rate=312.5 terminal=0 failed=0
SAMPLE t=138.3 done=8371/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=140.3 done=8371/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=142.3 done=8371/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=144.3 done=8371/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=146.3 done=8371/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=148.3 done=8371/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=150.3 done=8371/36000 rate=0.0 terminal=0 failed=0
