submitting 3 batches x 7000 = 21000 requests
generated 30572670 bytes in 1.4s
submitted batch=batch_484681d3-844d-4247-8832-37fdb3113d09 idx=1 bytes=10190890
submitted batch=batch_0ef72dbc-21e7-47a5-9004-24a63e1d3d54 idx=0 bytes=10190890
submitted batch=batch_63a166e3-96aa-4da4-ba4a-57495211af3d idx=2 bytes=10190890
all batches submitted in 0.1s ids=3
SAMPLE t=0.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=14.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=16.0 done=1292/21000 rate=644.8 terminal=0 failed=0
SAMPLE t=18.0 done=1292/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=20.0 done=1292/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=22.0 done=1292/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=24.0 done=1292/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=26.0 done=1292/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=28.0 done=1292/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=30.1 done=1292/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=3281/21000 rate=993.0 terminal=0 failed=0
SAMPLE t=34.1 done=3281/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=3281/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=3281/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=3281/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=3281/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=3281/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=46.1 done=5012/21000 rate=864.3 terminal=0 failed=0
SAMPLE t=48.1 done=5012/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=50.1 done=5012/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=52.1 done=5012/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=54.1 done=5012/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=56.1 done=5012/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=58.1 done=5012/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=60.1 done=5012/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=62.1 done=6105/21000 rate=545.6 terminal=0 failed=0
SAMPLE t=64.1 done=6105/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=66.1 done=6105/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=68.1 done=6105/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=70.1 done=6105/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=72.1 done=6105/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=74.1 done=6105/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=76.1 done=6280/21000 rate=87.4 terminal=0 failed=0
SAMPLE t=78.1 done=6280/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=80.1 done=6280/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=82.1 done=6280/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=84.1 done=6280/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=86.1 done=6280/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=88.1 done=6280/21000 rate=0.0 terminal=0 failed=0
