submitting 3 batches x 7000 = 21000 requests
generated 30572670 bytes in 1.3s
submitted batch=batch_ce8d01cd-1d60-4860-b149-8eeda9037b25 idx=0 bytes=10190890
submitted batch=batch_635594a5-98c1-4a7a-962f-1510569cec13 idx=1 bytes=10190890
submitted batch=batch_ae462642-bd56-402e-96b4-41935ce45705 idx=2 bytes=10190890
all batches submitted in 0.1s ids=3
SAMPLE t=0.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=14.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=16.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=18.0 done=1112/21000 rate=555.1 terminal=0 failed=0
SAMPLE t=20.0 done=1112/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=22.0 done=1112/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=24.0 done=1112/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=26.0 done=1112/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=28.1 done=1112/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=30.1 done=1112/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=2579/21000 rate=732.2 terminal=0 failed=0
SAMPLE t=34.1 done=2579/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=2579/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=2579/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=2579/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=2579/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=2579/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=46.1 done=2579/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=48.1 done=4115/21000 rate=766.7 terminal=0 failed=0
SAMPLE t=50.1 done=4115/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=52.1 done=4115/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=54.1 done=4115/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=56.1 done=4115/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=58.1 done=4115/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=60.1 done=4115/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=62.1 done=5053/21000 rate=468.2 terminal=0 failed=0
SAMPLE t=64.1 done=5053/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=66.1 done=5053/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=68.1 done=5053/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=70.1 done=5053/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=72.1 done=5053/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=74.1 done=5053/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=76.1 done=5053/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=78.1 done=5245/21000 rate=95.8 terminal=0 failed=0
SAMPLE t=80.1 done=5245/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=82.1 done=5245/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=84.1 done=5245/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=86.2 done=5245/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=88.2 done=5245/21000 rate=0.0 terminal=0 failed=0
