submitting 3 batches x 4000 = 12000 requests
generated 17468670 bytes in 0.7s
submitted batch=batch_d18d5820-906e-4cf9-a806-ce3c424160fe idx=2 bytes=5822890
submitted batch=batch_dc77d7a3-bf91-4f3d-8abd-39a26d4495e6 idx=1 bytes=5822890
submitted batch=batch_4c019cbe-5f78-4826-aa23-6fbf9c5a47c7 idx=0 bytes=5822890
all batches submitted in 0.1s ids=3
SAMPLE t=0.0 done=0/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=14.0 done=0/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=16.0 done=1559/12000 rate=778.2 terminal=0 failed=0
SAMPLE t=18.0 done=1559/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=20.0 done=1559/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=22.0 done=1559/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=24.0 done=1559/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=26.0 done=1559/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=28.0 done=1559/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=30.1 done=1559/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=3314/12000 rate=876.1 terminal=0 failed=0
SAMPLE t=34.1 done=3314/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=3314/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=3314/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=3314/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=3314/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=3314/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=46.1 done=4977/12000 rate=830.3 terminal=0 failed=0
SAMPLE t=48.1 done=4977/12000 rate=0.0 terminal=0 failed=0
