submitting 3 batches x 8000 = 24000 requests
generated 34940670 bytes in 1.5s
submitted batch=batch_3de406f1-04d9-4608-b8c1-ee3bc4c5487b idx=2 bytes=11646890
submitted batch=batch_4e19619f-4b2f-4f53-9a56-5c421c09798a idx=0 bytes=11646890
submitted batch=batch_87b465e0-25d8-4a25-863d-67a8b19d5d27 idx=1 bytes=11646890
all batches submitted in 0.1s ids=3
SAMPLE t=0.0 done=0/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=14.0 done=0/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=16.0 done=1068/24000 rate=533.2 terminal=0 failed=0
SAMPLE t=18.0 done=1068/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=20.0 done=1068/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=22.0 done=1068/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=24.0 done=1068/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=26.0 done=1068/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=28.0 done=1068/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=30.0 done=1068/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=3083/24000 rate=1006.1 terminal=0 failed=0
SAMPLE t=34.1 done=3083/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=3083/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=3083/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=3083/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=3083/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=3083/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=46.1 done=4923/24000 rate=918.3 terminal=0 failed=0
SAMPLE t=48.1 done=4923/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=50.1 done=4923/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=52.1 done=4923/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=54.1 done=4923/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=56.1 done=4923/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=58.1 done=4923/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=60.1 done=4923/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=62.1 done=6138/24000 rate=606.5 terminal=0 failed=0
SAMPLE t=64.1 done=6138/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=66.1 done=6138/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=68.1 done=6138/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=70.1 done=6138/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=72.1 done=6138/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=74.1 done=6138/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=76.1 done=6857/24000 rate=358.9 terminal=0 failed=0
SAMPLE t=78.1 done=6857/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=80.1 done=6857/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=82.1 done=6857/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=84.1 done=6857/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=86.1 done=6857/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=88.1 done=6857/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=90.2 done=6857/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=92.2 done=7484/24000 rate=313.0 terminal=0 failed=0
SAMPLE t=94.2 done=7484/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=96.2 done=7484/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=98.2 done=7484/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=100.2 done=7484/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=102.2 done=7484/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=104.2 done=7484/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=106.2 done=8094/24000 rate=304.6 terminal=0 failed=0
SAMPLE t=108.2 done=8094/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=110.2 done=8094/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=112.2 done=8094/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=114.2 done=8094/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=116.2 done=8094/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=118.2 done=8094/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=120.2 done=8094/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=122.2 done=8777/24000 rate=340.9 terminal=0 failed=0
SAMPLE t=124.2 done=8777/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=126.2 done=8777/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=128.2 done=8777/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=130.2 done=8777/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=132.2 done=8777/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=134.2 done=8777/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=136.2 done=9384/24000 rate=302.9 terminal=0 failed=0
SAMPLE t=138.2 done=9384/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=140.2 done=9384/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=142.2 done=9384/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=144.2 done=9384/24000 rate=0.0 terminal=0 failed=0
