submitting 3 batches x 8000 = 24000 requests
generated 34940670 bytes in 1.5s
submitted batch=batch_60bc2763-720e-472c-973c-69d7f0cee04a idx=2 bytes=11646890
submitted batch=batch_80dac07a-5a38-454b-9de8-89c6d4edd3fb idx=1 bytes=11646890
submitted batch=batch_e7edbbca-201a-4237-a5d8-fac089b42e35 idx=0 bytes=11646890
all batches submitted in 0.1s ids=3
SAMPLE t=0.0 done=0/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=14.0 done=0/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=16.0 done=1137/24000 rate=567.6 terminal=0 failed=0
SAMPLE t=18.0 done=1137/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=20.0 done=1137/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=22.0 done=1137/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=24.0 done=1137/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=26.0 done=1137/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=28.0 done=1137/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=30.1 done=1137/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=3132/24000 rate=994.4 terminal=0 failed=0
SAMPLE t=34.1 done=3132/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=3132/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=3132/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=3132/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=3132/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=3132/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=46.1 done=4961/24000 rate=913.0 terminal=0 failed=0
SAMPLE t=48.1 done=4961/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=50.1 done=4961/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=52.1 done=4961/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=54.1 done=4961/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=56.1 done=4961/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=58.1 done=4961/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=60.1 done=4961/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=62.1 done=6251/24000 rate=644.0 terminal=0 failed=0
SAMPLE t=64.1 done=6251/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=66.1 done=6251/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=68.1 done=6251/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=70.1 done=6251/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=72.1 done=6251/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=74.1 done=6251/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=76.1 done=6819/24000 rate=283.5 terminal=0 failed=0
SAMPLE t=78.1 done=6819/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=80.2 done=6819/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=82.2 done=6819/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=84.2 done=6819/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=86.2 done=6819/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=88.2 done=6819/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=90.2 done=6819/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=92.2 done=7536/24000 rate=357.9 terminal=0 failed=0
SAMPLE t=94.2 done=7536/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=96.2 done=7536/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=98.2 done=7536/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=100.2 done=7536/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=102.2 done=7536/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=104.2 done=7536/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=106.2 done=8195/24000 rate=328.9 terminal=0 failed=0
SAMPLE t=108.2 done=8195/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=110.2 done=8195/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=112.2 done=8195/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=114.2 done=8195/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=116.2 done=8195/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=118.2 done=8195/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=120.2 done=8195/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=122.2 done=8778/24000 rate=291.0 terminal=0 failed=0
SAMPLE t=124.2 done=8778/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=126.2 done=8778/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=128.2 done=8778/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=130.2 done=8778/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=132.2 done=8778/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=134.2 done=8778/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=136.3 done=9426/24000 rate=323.5 terminal=0 failed=0
SAMPLE t=138.3 done=9426/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=140.3 done=9426/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=142.3 done=9426/24000 rate=0.0 terminal=0 failed=0
SAMPLE t=144.3 done=9426/24000 rate=0.0 terminal=0 failed=0
