submitting 3 batches x 12000 = 36000 requests
generated 52418670 bytes in 2.2s
submitted batch=batch_f0d198de-5ff0-4628-a165-948ecf544de3 idx=2 bytes=17472890
submitted batch=batch_9ab58d5e-449e-4cad-a5eb-6adb3d8f8657 idx=0 bytes=17472890
submitted batch=batch_12b863f2-cc4c-4df8-a5ec-ea5047cd7354 idx=1 bytes=17472890
all batches submitted in 0.2s ids=3
SAMPLE t=0.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=14.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=16.0 done=1521/36000 rate=759.3 terminal=0 failed=0
SAMPLE t=18.0 done=1521/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=20.0 done=1521/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=22.0 done=1521/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=24.0 done=1521/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=26.0 done=1521/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=28.0 done=1521/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=30.1 done=1521/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=3290/36000 rate=883.1 terminal=0 failed=0
SAMPLE t=34.1 done=3290/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=3290/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=3290/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=3290/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=3290/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=3290/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=46.1 done=4942/36000 rate=824.7 terminal=0 failed=0
SAMPLE t=48.1 done=4942/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=50.1 done=4942/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=52.1 done=4942/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=54.1 done=4942/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=56.1 done=4942/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=58.1 done=4942/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=60.1 done=4942/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=62.1 done=6155/36000 rate=605.6 terminal=0 failed=0
SAMPLE t=64.1 done=6155/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=66.1 done=6155/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=68.1 done=6155/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=70.1 done=6155/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=72.1 done=6155/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=74.1 done=6155/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=76.1 done=6847/36000 rate=345.5 terminal=0 failed=0
SAMPLE t=78.1 done=6847/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=80.1 done=6847/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=82.1 done=6847/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=84.1 done=6847/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=86.1 done=6847/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=88.1 done=6847/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=90.1 done=6847/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=92.2 done=7486/36000 rate=319.0 terminal=0 failed=0
SAMPLE t=94.2 done=7486/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=96.2 done=7486/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=98.2 done=7486/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=100.2 done=7486/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=102.2 done=7486/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=104.2 done=7486/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=106.2 done=8152/36000 rate=332.5 terminal=0 failed=0
SAMPLE t=108.2 done=8152/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=110.2 done=8152/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=112.2 done=8152/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=114.2 done=8152/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=116.2 done=8152/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=118.2 done=8152/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=120.2 done=8152/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=122.2 done=8786/36000 rate=316.5 terminal=0 failed=0
SAMPLE t=124.2 done=8786/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=126.2 done=8786/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=128.2 done=8786/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=130.2 done=8786/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=132.2 done=8786/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=134.2 done=8786/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=136.2 done=9376/36000 rate=294.5 terminal=0 failed=0
SAMPLE t=138.2 done=9376/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=140.2 done=9376/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=142.2 done=9376/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=144.2 done=9376/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=146.2 done=9376/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=148.2 done=9376/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=150.2 done=9376/36000 rate=0.0 terminal=0 failed=0
