submitting 3 batches x 10000 = 30000 requests
generated 43676670 bytes in 1.8s
submitted batch=batch_7f2fb270-4e56-4989-9efc-cddb352d295f idx=1 bytes=14558890
submitted batch=batch_bc51ee5f-f28d-4854-aebe-e0b3dfd37e54 idx=0 bytes=14558890
submitted batch=batch_216c0512-acea-407e-86a8-fb19074b96aa idx=2 bytes=14558890
all batches submitted in 0.2s ids=3
SAMPLE t=0.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=14.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=16.0 done=1339/30000 rate=668.3 terminal=0 failed=0
SAMPLE t=18.0 done=1339/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=20.0 done=1339/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=22.0 done=1339/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=24.1 done=1339/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=26.1 done=1339/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=28.1 done=1339/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=30.1 done=1339/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=3215/30000 rate=936.6 terminal=0 failed=0
SAMPLE t=34.1 done=3215/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=3215/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=3215/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=3215/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=3215/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=3215/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=46.1 done=4998/30000 rate=890.3 terminal=0 failed=0
SAMPLE t=48.1 done=4998/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=50.1 done=4998/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=52.1 done=4998/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=54.1 done=4998/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=56.1 done=4998/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=58.1 done=4998/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=60.1 done=4998/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=62.1 done=6803/30000 rate=901.0 terminal=0 failed=0
SAMPLE t=64.1 done=6803/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=66.1 done=6803/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=68.1 done=6803/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=70.1 done=6803/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=72.1 done=6803/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=74.1 done=6803/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=76.1 done=8649/30000 rate=921.7 terminal=0 failed=0
SAMPLE t=78.1 done=8649/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=80.1 done=8649/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=82.1 done=8649/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=84.1 done=8649/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=86.1 done=8649/30000 rate=0.0 terminal=0 failed=0
