submitting 3 batches x 7000 = 21000 requests
generated 30572670 bytes in 1.3s
submitted batch=batch_3af5e136-7444-4807-9bff-24a96ebb7830 idx=1 bytes=10190890
submitted batch=batch_65038a2d-5496-4475-992d-f590fd6c9c1e idx=0 bytes=10190890
submitted batch=batch_7c4dd8b9-79a9-4dab-9750-15fab6b20e01 idx=2 bytes=10190890
all batches submitted in 0.1s ids=3
SAMPLE t=0.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=14.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=16.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=18.0 done=1266/21000 rate=632.1 terminal=0 failed=0
SAMPLE t=20.0 done=1266/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=22.1 done=1266/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=24.1 done=1266/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=26.1 done=1266/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=28.1 done=1266/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=30.1 done=1266/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=3192/21000 rate=961.2 terminal=0 failed=0
SAMPLE t=34.1 done=3192/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=3192/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=3192/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=3192/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=3192/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=3192/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=46.1 done=3192/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=48.1 done=4980/21000 rate=892.3 terminal=0 failed=0
SAMPLE t=50.1 done=4980/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=52.1 done=4980/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=54.1 done=4980/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=56.1 done=4980/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=58.1 done=4980/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=60.1 done=4980/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=62.1 done=5931/21000 rate=474.8 terminal=0 failed=0
SAMPLE t=64.1 done=5931/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=66.1 done=5931/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=68.1 done=5931/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=70.1 done=5931/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=72.1 done=5931/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=74.2 done=5931/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=76.2 done=6127/21000 rate=97.8 terminal=0 failed=0
SAMPLE t=78.2 done=6127/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=80.2 done=6127/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=82.2 done=6127/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=84.2 done=6127/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=86.2 done=6127/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=88.2 done=6127/21000 rate=0.0 terminal=0 failed=0
