submitting 3 batches x 12000 = 36000 requests
generated 52418670 bytes in 2.2s
submitted batch=batch_b6b08403-d9d6-404f-828d-eb99e124c00b idx=1 bytes=17472890
submitted batch=batch_da4479b1-bf8d-4250-a346-d7d9ebd28c2b idx=0 bytes=17472890
submitted batch=batch_7fe812c4-7b0d-4440-aea3-5fe5c077c357 idx=2 bytes=17472890
all batches submitted in 0.2s ids=3
SAMPLE t=0.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=14.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=16.0 done=1348/36000 rate=671.3 terminal=0 failed=0
SAMPLE t=18.0 done=1348/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=20.0 done=1348/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=22.1 done=1348/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=24.1 done=1348/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=26.1 done=1348/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=28.1 done=1348/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=30.1 done=1348/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=3212/36000 rate=930.3 terminal=0 failed=0
SAMPLE t=34.1 done=3212/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=3212/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=3212/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=3212/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=3212/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=3212/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=46.1 done=4986/36000 rate=885.8 terminal=0 failed=0
SAMPLE t=48.1 done=4986/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=50.1 done=4986/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=52.1 done=4986/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=54.1 done=4986/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=56.1 done=4986/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=58.1 done=4986/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=60.1 done=4986/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=62.1 done=6128/36000 rate=570.1 terminal=0 failed=0
SAMPLE t=64.1 done=6128/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=66.1 done=6128/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=68.1 done=6128/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=70.1 done=6128/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=72.1 done=6128/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=74.1 done=6128/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=76.1 done=6809/36000 rate=339.9 terminal=0 failed=0
SAMPLE t=78.1 done=6809/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=80.1 done=6809/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=82.1 done=6809/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=84.2 done=6809/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=86.2 done=6809/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=88.2 done=6809/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=90.2 done=6809/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=92.2 done=7392/36000 rate=291.0 terminal=0 failed=0
SAMPLE t=94.2 done=7392/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=96.2 done=7392/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=98.2 done=7392/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=100.2 done=7392/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=102.2 done=7392/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=104.2 done=7392/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=106.2 done=8089/36000 rate=347.9 terminal=0 failed=0
SAMPLE t=108.2 done=8089/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=110.2 done=8089/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=112.2 done=8089/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=114.2 done=8089/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=116.2 done=8089/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=118.2 done=8089/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=120.2 done=8791/36000 rate=350.4 terminal=0 failed=0
SAMPLE t=122.2 done=8791/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=124.2 done=8791/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=126.2 done=8791/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=128.2 done=8791/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=130.2 done=8791/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=132.2 done=8791/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=134.2 done=8791/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=136.2 done=9352/36000 rate=280.0 terminal=0 failed=0
SAMPLE t=138.3 done=9352/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=140.3 done=9352/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=142.3 done=9352/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=144.3 done=9352/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=146.3 done=9352/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=148.3 done=9352/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=150.3 done=10004/36000 rate=325.4 terminal=0 failed=0
