submitting 3 batches x 10000 = 30000 requests
generated 43676670 bytes in 1.8s
submitted batch=batch_36b9ab02-bc44-4dc2-ac7b-b6ea7911c3c8 idx=1 bytes=14558890
submitted batch=batch_0ccbe354-09d0-4b5b-ac00-554f71ba1ec1 idx=2 bytes=14558890
submitted batch=batch_81ce0e6b-1cdf-4f1f-a73f-5c1ae7be6d72 idx=0 bytes=14558890
all batches submitted in 0.2s ids=3
SAMPLE t=0.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=14.0 done=0/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=16.0 done=1246/30000 rate=622.0 terminal=0 failed=0
SAMPLE t=18.0 done=1246/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=20.0 done=1246/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=22.0 done=1246/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=24.1 done=1246/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=26.1 done=1246/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=28.1 done=1246/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=30.1 done=1246/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=3195/30000 rate=972.9 terminal=0 failed=0
SAMPLE t=34.1 done=3195/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=3195/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=3195/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=3195/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=3195/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=3195/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=46.1 done=4874/30000 rate=838.1 terminal=0 failed=0
SAMPLE t=48.1 done=4874/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=50.1 done=4874/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=52.1 done=4874/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=54.1 done=4874/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=56.1 done=4874/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=58.1 done=4874/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=60.1 done=4874/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=62.1 done=6087/30000 rate=605.6 terminal=0 failed=0
SAMPLE t=64.1 done=6087/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=66.1 done=6087/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=68.1 done=6087/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=70.1 done=6087/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=72.1 done=6087/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=74.1 done=6087/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=76.1 done=6742/30000 rate=327.0 terminal=0 failed=0
SAMPLE t=78.1 done=6742/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=80.1 done=6742/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=82.1 done=6742/30000 rate=0.0 terminal=0 failed=0
SAMPLE t=84.1 done=6742/30000 rate=0.0 terminal=0 failed=0
