submitting 3 batches x 7000 = 21000 requests
generated 30572670 bytes in 1.3s
submitted batch=batch_bbb45a50-30dd-4c4d-83c9-032b02e14c2e idx=2 bytes=10190890
submitted batch=batch_cd118a23-d244-4532-94c7-b9f76a0e770d idx=1 bytes=10190890
submitted batch=batch_710da304-9688-486d-be61-0cd8aed0419f idx=0 bytes=10190890
all batches submitted in 0.1s ids=3
SAMPLE t=0.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=14.0 done=0/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=16.0 done=1213/21000 rate=605.6 terminal=0 failed=0
SAMPLE t=18.0 done=1213/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=20.0 done=1213/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=22.1 done=1213/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=24.1 done=1213/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=26.1 done=1213/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=28.1 done=1213/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=30.1 done=1213/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=3135/21000 rate=959.3 terminal=0 failed=0
SAMPLE t=34.1 done=3135/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=3135/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=3135/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=3135/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=3135/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=3135/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=46.1 done=4837/21000 rate=849.5 terminal=0 failed=0
SAMPLE t=48.1 done=4837/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=50.1 done=4837/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=52.1 done=4837/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=54.1 done=4837/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=56.1 done=4837/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=58.1 done=4837/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=60.1 done=4837/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=62.1 done=5947/21000 rate=554.1 terminal=0 failed=0
SAMPLE t=64.1 done=5947/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=66.1 done=5947/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=68.1 done=5947/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=70.1 done=5947/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=72.1 done=5947/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=74.1 done=5947/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=76.1 done=6181/21000 rate=116.8 terminal=0 failed=0
SAMPLE t=78.1 done=6181/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=80.1 done=6181/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=82.1 done=6181/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=84.1 done=6181/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=86.2 done=6181/21000 rate=0.0 terminal=0 failed=0
SAMPLE t=88.2 done=6181/21000 rate=0.0 terminal=0 failed=0
