submitting 3 batches x 12000 = 36000 requests
generated 52418670 bytes in 2.2s
submitted batch=batch_480fd239-397b-4bd7-ba7b-a543d816fae2 idx=1 bytes=17472890
submitted batch=batch_dde43ce5-f99b-4c7f-9fae-9d9db68726c4 idx=2 bytes=17472890
submitted batch=batch_95ee8823-2813-4e6f-a32a-d4cd9a232ded idx=0 bytes=17472890
all batches submitted in 0.2s ids=3
SAMPLE t=0.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=14.0 done=0/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=16.0 done=1159/36000 rate=578.6 terminal=0 failed=0
SAMPLE t=18.0 done=1159/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=20.0 done=1159/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=22.1 done=1159/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=24.1 done=1159/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=26.1 done=1159/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=28.1 done=1159/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=30.1 done=1159/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=3116/36000 rate=976.8 terminal=0 failed=0
SAMPLE t=34.1 done=3116/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=3116/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=3116/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=3116/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=3116/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=3116/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=46.1 done=4799/36000 rate=840.1 terminal=0 failed=0
SAMPLE t=48.1 done=4799/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=50.1 done=4799/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=52.1 done=4799/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=54.1 done=4799/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=56.1 done=4799/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=58.1 done=4799/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=60.1 done=4799/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=62.1 done=6079/36000 rate=639.0 terminal=0 failed=0
SAMPLE t=64.1 done=6079/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=66.1 done=6079/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=68.1 done=6079/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=70.1 done=6079/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=72.1 done=6079/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=74.1 done=6079/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=76.1 done=6725/36000 rate=322.5 terminal=0 failed=0
SAMPLE t=78.2 done=6725/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=80.2 done=6725/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=82.2 done=6725/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=84.2 done=6725/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=86.2 done=6725/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=88.2 done=6725/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=90.2 done=6725/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=92.2 done=7343/36000 rate=308.5 terminal=0 failed=0
SAMPLE t=94.2 done=7343/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=96.2 done=7343/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=98.2 done=7343/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=100.2 done=7343/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=102.2 done=7343/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=104.2 done=7343/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=106.2 done=7982/36000 rate=319.0 terminal=0 failed=0
SAMPLE t=108.2 done=7982/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=110.2 done=7982/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=112.2 done=7982/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=114.2 done=7982/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=116.2 done=7982/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=118.2 done=7982/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=120.2 done=8602/36000 rate=309.5 terminal=0 failed=0
SAMPLE t=122.2 done=8602/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=124.2 done=8602/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=126.2 done=8602/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=128.2 done=8602/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=130.2 done=8602/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=132.2 done=8602/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=134.2 done=8602/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=136.3 done=9284/36000 rate=340.4 terminal=0 failed=0
SAMPLE t=138.3 done=9284/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=140.3 done=9284/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=142.3 done=9284/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=144.3 done=9284/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=146.3 done=9284/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=148.3 done=9284/36000 rate=0.0 terminal=0 failed=0
SAMPLE t=150.3 done=9934/36000 rate=324.5 terminal=0 failed=0
