submitting 3 batches x 3333 = 9999 requests
generated 14555214 bytes in 0.6s
submitted batch=batch_b7ac4381-5022-439b-8a01-4140d249ecea idx=2 bytes=4851738
submitted batch=batch_d18a64ed-671d-473c-8d28-b37d3f7ee8c0 idx=0 bytes=4851738
submitted batch=batch_d87952c9-ca0a-499e-b70e-6b45edf122d0 idx=1 bytes=4851738
all batches submitted in 0.1s ids=3
SAMPLE t=0.0 done=0/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=14.0 done=0/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=16.0 done=479/9999 rate=239.0 terminal=0 failed=0
SAMPLE t=18.0 done=479/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=20.0 done=479/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=22.1 done=479/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=24.1 done=479/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=26.1 done=479/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=28.1 done=479/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=30.1 done=479/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=1086/9999 rate=302.9 terminal=0 failed=0
SAMPLE t=34.1 done=1086/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=1086/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=1086/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=1086/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=1086/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=1086/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=46.1 done=1666/9999 rate=289.4 terminal=0 failed=0
SAMPLE t=48.1 done=1666/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=50.1 done=1666/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=52.1 done=1666/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=54.1 done=1666/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=56.1 done=1666/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=58.1 done=1666/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=60.1 done=1666/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=62.1 done=1952/9999 rate=142.8 terminal=0 failed=0
SAMPLE t=64.1 done=1952/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=66.1 done=1952/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=68.1 done=1952/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=70.1 done=1952/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=72.1 done=1952/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=74.2 done=1952/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=76.2 done=2087/9999 rate=67.4 terminal=0 failed=0
SAMPLE t=78.2 done=2087/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=80.2 done=2087/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=82.2 done=2087/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=84.2 done=2087/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=86.2 done=2087/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=88.2 done=2087/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=90.2 done=2087/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=92.2 done=2273/9999 rate=92.8 terminal=0 failed=0
SAMPLE t=94.2 done=2273/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=96.2 done=2273/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=98.2 done=2273/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=100.2 done=2273/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=102.2 done=2273/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=104.2 done=2273/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=106.2 done=2491/9999 rate=108.8 terminal=0 failed=0
SAMPLE t=108.2 done=2491/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=110.2 done=2491/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=112.2 done=2491/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=114.2 done=2491/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=116.2 done=2491/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=118.2 done=2491/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=120.2 done=2491/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=122.2 done=2675/9999 rate=91.8 terminal=0 failed=0
SAMPLE t=124.2 done=2675/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=126.2 done=2675/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=128.2 done=2675/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=130.2 done=2675/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=132.3 done=2675/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=134.3 done=2675/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=136.3 done=2851/9999 rate=87.8 terminal=0 failed=0
SAMPLE t=138.3 done=2851/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=140.3 done=2851/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=142.3 done=2851/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=144.3 done=2851/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=146.3 done=2851/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=148.3 done=2851/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=150.3 done=2851/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=152.3 done=3047/9999 rate=97.8 terminal=0 failed=0
SAMPLE t=154.3 done=3047/9999 rate=0.0 terminal=0 failed=0
