submitting 3 batches x 2666 = 7998 requests
generated 11641758 bytes in 0.5s
submitted batch=batch_5d42882f-1e04-4cfd-ba68-45dd1ac87928 idx=2 bytes=3880586
submitted batch=batch_85c41719-2066-4937-8382-3c806a3e5952 idx=1 bytes=3880586
submitted batch=batch_e9028e4a-b337-48c2-93aa-cf54a46879be idx=0 bytes=3880586
all batches submitted in 0.1s ids=3
SAMPLE t=0.0 done=0/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=14.0 done=0/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=16.0 done=486/7998 rate=242.6 terminal=0 failed=0
SAMPLE t=18.0 done=486/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=20.1 done=486/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=22.1 done=486/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=24.1 done=486/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=26.1 done=486/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=28.1 done=486/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=30.1 done=486/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=1045/7998 rate=279.0 terminal=0 failed=0
SAMPLE t=34.1 done=1045/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=1045/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=1045/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=1045/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=1045/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=1045/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=46.1 done=1628/7998 rate=291.0 terminal=0 failed=0
SAMPLE t=48.1 done=1628/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=50.1 done=1628/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=52.1 done=1628/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=54.1 done=1628/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=56.1 done=1628/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=58.1 done=1628/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=60.1 done=1628/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=62.1 done=1866/7998 rate=118.8 terminal=0 failed=0
SAMPLE t=64.1 done=1866/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=66.1 done=1866/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=68.1 done=1866/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=70.1 done=1866/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=72.1 done=1866/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=74.1 done=1866/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=76.1 done=1929/7998 rate=31.4 terminal=0 failed=0
SAMPLE t=78.2 done=1929/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=80.2 done=1929/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=82.2 done=1929/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=84.2 done=1929/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=86.2 done=1929/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=88.2 done=1929/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=90.2 done=1929/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=92.2 done=1995/7998 rate=33.0 terminal=0 failed=0
SAMPLE t=94.2 done=1995/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=96.2 done=1995/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=98.2 done=1995/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=100.2 done=1995/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=102.2 done=1995/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=104.2 done=1995/7998 rate=0.0 terminal=0 failed=0
SAMPLE t=106.2 done=2086/7998 rate=45.4 terminal=0 failed=0
SAMPLE t=108.2 done=2086/7998 rate=0.0 terminal=0 failed=0
