submitting 3 batches x 4000 = 12000 requests
generated 17468670 bytes in 0.7s
submitted batch=batch_97db0bae-d32f-4524-b5ba-db1dd976be97 idx=0 bytes=5822890
submitted batch=batch_abb43e70-5b5d-4ab5-a732-cba9f3c1e735 idx=2 bytes=5822890
submitted batch=batch_0ae83b72-7cad-4ff8-9b9c-d62336093da4 idx=1 bytes=5822890
all batches submitted in 0.1s ids=3
SAMPLE t=0.0 done=0/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=14.0 done=0/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=16.0 done=487/12000 rate=243.1 terminal=0 failed=0
SAMPLE t=18.0 done=487/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=20.1 done=487/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=22.1 done=487/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=24.1 done=487/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=26.1 done=487/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=28.1 done=487/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=30.1 done=487/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=1068/12000 rate=290.0 terminal=0 failed=0
SAMPLE t=34.1 done=1068/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=1068/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=1068/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=1068/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=1068/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=1068/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=46.1 done=1605/12000 rate=268.0 terminal=0 failed=0
SAMPLE t=48.1 done=1605/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=50.1 done=1605/12000 rate=0.0 terminal=0 failed=0
