submitting 3 batches x 3333 = 9999 requests
generated 14555214 bytes in 0.6s
submitted batch=batch_cf12cb3f-dc87-444c-9365-6ac9d1849b92 idx=1 bytes=4851738
submitted batch=batch_7c96d433-1389-4ec3-a3de-e89bf9e34427 idx=0 bytes=4851738
submitted batch=batch_560149c9-4829-433a-a6c4-2ae7cee9fa3b idx=2 bytes=4851738
all batches submitted in 0.1s ids=3
SAMPLE t=0.0 done=0/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=14.0 done=0/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=16.0 done=468/9999 rate=233.6 terminal=0 failed=0
SAMPLE t=18.0 done=468/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=20.0 done=468/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=22.1 done=468/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=24.1 done=468/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=26.1 done=468/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=28.1 done=468/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=30.1 done=468/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=1036/9999 rate=283.5 terminal=0 failed=0
SAMPLE t=34.1 done=1036/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=1036/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=1036/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=1036/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=1036/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=1036/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=46.1 done=1613/9999 rate=288.1 terminal=0 failed=0
SAMPLE t=48.1 done=1613/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=50.1 done=1613/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=52.1 done=1613/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=54.1 done=1613/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=56.1 done=1613/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=58.1 done=1613/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=60.1 done=1613/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=62.1 done=1933/9999 rate=159.7 terminal=0 failed=0
SAMPLE t=64.1 done=1933/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=66.1 done=1933/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=68.1 done=1933/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=70.1 done=1933/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=72.1 done=1933/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=74.1 done=1933/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=76.1 done=2097/9999 rate=81.9 terminal=0 failed=0
SAMPLE t=78.1 done=2097/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=80.1 done=2097/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=82.2 done=2097/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=84.2 done=2097/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=86.2 done=2097/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=88.2 done=2097/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=90.2 done=2097/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=92.2 done=2270/9999 rate=86.4 terminal=0 failed=0
SAMPLE t=94.2 done=2270/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=96.2 done=2270/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=98.2 done=2270/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=100.2 done=2270/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=102.2 done=2270/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=104.2 done=2270/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=106.2 done=2449/9999 rate=89.3 terminal=0 failed=0
SAMPLE t=108.2 done=2449/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=110.2 done=2449/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=112.2 done=2449/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=114.2 done=2449/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=116.2 done=2449/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=118.2 done=2449/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=120.2 done=2449/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=122.2 done=2580/9999 rate=65.4 terminal=0 failed=0
SAMPLE t=124.2 done=2580/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=126.2 done=2580/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=128.2 done=2580/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=130.2 done=2580/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=132.2 done=2580/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=134.2 done=2580/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=136.2 done=2755/9999 rate=87.4 terminal=0 failed=0
SAMPLE t=138.2 done=2755/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=140.2 done=2755/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=142.2 done=2755/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=144.3 done=2755/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=146.3 done=2755/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=148.3 done=2755/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=150.3 done=2755/9999 rate=0.0 terminal=0 failed=0
SAMPLE t=152.3 done=2947/9999 rate=95.8 terminal=0 failed=0
SAMPLE t=154.3 done=2947/9999 rate=0.0 terminal=0 failed=0
