submitting 3 batches x 4000 = 12000 requests
generated 17468670 bytes in 0.7s
submitted batch=batch_ee84dd72-3d56-4e95-8421-7830ae5bd4e2 idx=1 bytes=5822890
submitted batch=batch_18b4dc68-5877-4f4f-b4e0-eb02931e0abd idx=0 bytes=5822890
submitted batch=batch_8eae0fdb-2270-4480-82d5-7fd8d3018a46 idx=2 bytes=5822890
all batches submitted in 0.1s ids=3
SAMPLE t=0.0 done=0/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=2.0 done=0/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=4.0 done=0/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=6.0 done=0/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=8.0 done=0/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=10.0 done=0/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=12.0 done=0/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=14.0 done=0/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=16.1 done=481/12000 rate=240.0 terminal=0 failed=0
SAMPLE t=18.1 done=481/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=20.1 done=481/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=22.1 done=481/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=24.1 done=481/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=26.1 done=481/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=28.1 done=481/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=30.1 done=481/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=32.1 done=1027/12000 rate=272.5 terminal=0 failed=0
SAMPLE t=34.1 done=1027/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=36.1 done=1027/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=38.1 done=1027/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=40.1 done=1027/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=42.1 done=1027/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=44.1 done=1027/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=46.1 done=1606/12000 rate=289.0 terminal=0 failed=0
SAMPLE t=48.1 done=1606/12000 rate=0.0 terminal=0 failed=0
SAMPLE t=50.1 done=1606/12000 rate=0.0 terminal=0 failed=0
